entity_id,ticker,company_name,canonical_name,parent_entity_id,is_public,country,region,source,as_of_date,confidence_score,notes
ENT000001,A,A,A,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000002,AA,AA,AA,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000003,AAGF.F,AAGF.F,AAGF.F,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000004,AAL,AAL,AAL,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000005,AAMI,AAMI,AAMI,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000006,AAOI,AAOI,AAOI,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000007,AAON,AAON,AAON,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000008,AAP,AAP,AAP,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000009,AAPL,AAPL,AAPL,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000010,AARD,AARD,AARD,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000011,AAT,AAT,AAT,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000012,AB,AB,AB,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000013,ABAT,ABAT,ABAT,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000014,ABCL,ABCL,ABCL,,TRUE,Canada,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000015,ABEV,ABEV,ABEV,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000016,ABG,ABG,ABG,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000017,ABL,ABL,ABL,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000018,ABM,ABM,ABM,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000019,ABNB,ABNB,ABNB,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000020,ABR,ABR,ABR,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000021,ABT,ABT,ABT,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000022,ABTC,ABTC,ABTC,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000023,ABVE,ABVE,ABVE,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000024,ABXX.F,ABXX.F,ABXX.F,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000025,ACA,ACA,ACA,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000026,ACB,ACB,ACB,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000027,ACCO,ACCO,AC,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000028,ACDC,ACDC,ACDC,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000029,ACEL,ACEL,ACEL,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000030,ACGL,ACGL,ACGL,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000031,ACGP,ACGP,ACGP,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000032,ACHC,ACHC,ACHC,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000033,ACHR,ACHR,ACHR,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000034,ACI,ACI,ACI,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000035,ACIC,ACIC,ACIC,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000036,ACIW,ACIW,ACIW,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000037,ACLS,ACLS,ACLS,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000038,ACM,ACM,ACM,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000039,ACMR,ACMR,ACMR,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000040,ACN,ACN,ACN,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000041,ACRE,ACRE,ACRE,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000042,ACRS,ACRS,ACRS,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000043,ACT,ACT,ACT,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000044,ACTG,ACTG,ACTG,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000045,ACU,ACU,ACU,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000046,ACVA,ACVA,ACVA,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000047,AD,AD,AD,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000048,ADAM,ADAM,ADAM,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000049,ADBE,ADBE,ADBE,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000050,ADC,ADC,ADC,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000051,ADEA,ADEA,ADEA,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000052,ADI,ADI,ADI,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000053,ADM,ADM,ADM,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000054,ADNT,ADNT,ADNT,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000055,ADP,ADP,ADP,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000056,ADPT,ADPT,ADPT,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
ENT000057,ADSE,ADSE,ADSE,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000058,ADSK,ADSK,ADSK,,TRUE,Unknown,Unknown,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback; country unknown
ENT000059,ADT,ADT,ADT,,TRUE,United States,North America,GSE580_theta_data.csv,2026-05-08,0.80,parent relationships not resolved in v0; company_name missing; used ticker fallback
